# lang=ro
cat	floor (storey)
semnificație	significance
semnificație	meaning
spațiu euclidian	Euclidean space
cartezian	cartesian
comunicație	communication
criticabil	criticizable
complex de inferioritate	inferiority complex
condus	taken, guided
infectat	infected
celuloză	cellulose
nitrat	nitrate
cooptat	coopted
ziarist	journalist
zicătoare	folk saying
zugrăvi	to paint (a house)
zugrăvi	to paint
zugrăvi	to describe
degenerat	degenerate
degerat	frostbitten
destructura	to destructure
diminuat	contracted, diminished, reduced
discontinuare	discontinuation
tulum	leather bag used for transporting olive oil
dogmatiza	to dogmatize
dogmatizare	dogmatization
dolii	to slow down a raft
durui	to rumble
duruit	rumbling
elementar	elementary
elementar	basic
fanar	a lamp
înfrunzi	to leaf, produce leaves, cover with leaves or foliage
înfrunzi	to embower
căpcăun	a mythical dog-headed monster or ogre
turturea	turtle dove
porumbar	pigeon house, dovecote, pigeonhole, columbarium
porumbar	corn crib, granary
porumbar	blackthorn, sloe tree
enervat	annoyed, angry
enervant	annoying
supraviețui	to survive, to endure, to last
duș	shower
caș	a type of fresh, non-fermented and unsalted cheese
premiu	prize
expirat	lapsed, expired
expirator	expiratory
explodor	exploder
explodat	exploded
expurgat	expurgated
expurga	to expurge
expurgare	expurgation
flatat	flattered
criticant	criticizer
criticat	criticized
apostat	apostate
frugifer	frugiferous
ortoped	orthopedist
imis	immaculate
imparitate	imparity
cologaritm	cologarithm
comutativitate	commutativity
incinerat	incinerated
incrustat	inlaid
integralitate	entirety
introspecta	to introspect
electrotehnică	electrical engineering
regularitate	regularity
magnanimitate	magnanimity
mediocritate	mediocrity
modificator	modifying
colector	collecting
colector	collector
creion	pencil
riglă	ruler (instrument)
riglă	lumber with a larger, squarish section, such as a two by two
dreptar	a ruler or straight edge used to verify flat surfaces in construction
Săgetătorul	Sagittarius
nobila	to ennoble
norit	norite
circuit electric	electric circuit
obscuritate	obscurity
organizat	organised
nițel	a little
nițel	little, few, small amount of
moț	tassel
moț	topknot
moț	forelocks
foale	bellows
foale	abdomen, belly, paunch
foios	leafy, foliated, with luxurious foliage
foios	omasum, manyplies
înfoia	to swell, puff up, inflate
înfoia	to put on airs
umfla	to inflate, swell, puff up, blow out
-ție	-tion
-țiune	-tion
-ciune	roughly equivalent to -tion; was used to form a noun when added to a verb root, describing that action or state related to the verb
necinstit	dishonest
necuviincios	disrespectful
sistem fizic	physical system
pulverizat	destroyed
pulverizat	sprayed
pulverizator	sprayer
rarefiat	rarefied
rarefiant	rarefying
rectificat	corrected
rectificator	rectifying
rectificator	rectifier
conveier	conveyor
aoace	there, over there
auace	here, over here
candoare	candor
reuni	to reunite
reunire	reunion
sagacitate	sagacity
dispersat	dispersed
osamă	bones
oseminte	bones, denuded of flesh
subjugare	subjugation
substantiva	to substantivise, nominalize
-ință	; -ence, -ance.
-ență	-ence
ghețar	glacier
nebuni	to go crazy, go mad
nebuni	to drive crazy
cum se pronunță acest cuvânt	how do you pronounce this word?
vitriola	to vitriolize
pucioasă	brimstone, sulfur
disparitate	disparity
pasiune	passion, ardor
gutos	gouty
gutos	a person suffering from gout
disc rigid	hard disk
baieră	strap
baieră	thread, string
inflexibil	inflexible
asperitate	asperity
comitat	county
comitet	committee
picătura care a umplut paharul	the straw that broke the camel's back
erupere	eruption
carnivor	carnivorous
turbocompresor	turbocompressor
adresă de internet	Internet address
canal de televiziune	television channel, TV channel
jena	to embarrass
jena	to discomfort, incommode
jena	to inconvenience
armătură	armor
armătură	coat of arms, blazonry
armătură	all of the supporting metal bars that hold up a concrete construction
metalogic	metalogical
izvorî	to gush out, spring, flow
izvorî	to appear, rise
absurditate	absurdity
combinat	combined
dexteritate	dexterity
dihanie	behemoth, monster, wild beast
înmulți	to become many, to multiply
înmulți	to reproduce
înmulți	to make many, multiply, increase
dobitoc	animal, beast
dobitoc	blockhead, numskull, nincompoop, moron, imbecile, idiot.
dobândă	interest
pagubă	damage, harm, loss
terapie de șoc cu insulină	insulin shock therapy
inginerie de sisteme	systems engineering
vorbiți engleză	do you speak English?
pot să folosesc telefonul Dumneavoastră	can I use your phone?
îndrepta	to straighten
îndrepta	to mend, correct, improve, recover
îndrepta	to change oneself for the better
înfipt	stiff, unflinching, rigid
înfipt	fixed, implanted, stuck into
frigare	a metal or wooden rod on which meat is stuck when roasted; skewer, spit
albeață	whiteness
albeață	leucoma
vădos	that which has or is full shallows or fords
pompă	pomp, showiness
rămuros	branchy
asigurare	assurance
asigurare	insurance
umectat	humidified
umectare	moistening
incitabilitate	incitability
văita	to whine, bemoan, wail, complain, lament
pehlivan	acrobat
pehlivan	crook, quack
pehlivan	joker
destupa	to uncork, clear, open, clear obstructions from
cauciuc	rubber
surditate	deafness
vitalitate	vitality
mioară	ewe lamb
gălușcă	dumpling
cârlan	young horse (up to three years old)
cârlan	young lamb or kid
seral	evening, night
izbăvi	to redeem
izbăvi	to free, liberate
teatru	theatre
scobi	to pick (grasp and pull at with fingers and nails)
scobi	to hollow out, dig
germanofilie	germanophilia
germanofobie	Germanophobia
pantă	slope, incline, ramp, gradient
-eață	-ness, -ity; used to form nouns from adjectives
chingă	saddle girth, band, cinch, belly band
chingă	belt, girdle, strap
băși	to fart, flatulate, break wind
searbăd	tasteless, flat, insipid, dull, tame
alac	einkorn wheat ()
alac	spelt ( or Triticum aestivum subsp. spelta)
anina	to hook; to hang (up)
râgâi	to burp, belch
alegere	choice
alegere	choosing, selection
alegere	election
leuștean	lovage
țesătură	fabric, woven material, textile, cloth
țesătură	texture
spaț	the space between a roller or cylinder and the comb on a weaving loom; the part of the fabric not yet rolled on the roller
-tură	; -ure, -ing
lovitură	a hit, blow, kick
granulometrie	granulometry
gres	sandstone
ignifugare	fireproofing
eclectism	eclecticism
exfoliator	exfoliant
icnografie	ichnography
epifit	epiphytic
moșteni	to inherit
fânaț	hayfield
fâneață	hayfield
afâna	to loosen, soften, or make a granular material less compact or dense, as with hay
sânziană	several plants of the genus (, , )
sânziană	Midsummer Day, St. John's Day, Baptist's Day (Romanian folk celebration)
sânziană	gold-haired fairy
tehnician veterinar	veterinary technician
impesta	to infect
podoabă	adornment, decoration, ornament
podoabă	jewel
toiag	staff, rod, baton, wand
toiag	scepter
toiag	truncheon
atenuat	attenuate
atenuant	attenuating
atenua	to mitigate
rigoare	rigour
campionat	championship
colină	hillock
sugruma	to choke
sugruma	to smother
sugruma	to strangle
gurgui	spout
gurgui	nipple, teat, pap
țâță	teat, nipple
țâță	udder
îngâmfa	to inflate oneself, put on airs
gâmfă	crop, maw, gizzard
rumega	to chew over again, ruminate
rumega	to chew or masticate for a long time
rumega	to chew the cud, ruminate, ponder, consider
căprior	roebuck
căprior	rafter (of a roof)
căprior	trestle
furtună-n pahar de apă	storm in a tea kettle
asalt	assault, raid, storming
cocar	penis
insulinoterapie	insulinotherapy
celuloid	celluloid
interfolia	to interleave
culturist	bodybuilder
invagina	to invaginate
petrolist	worker in the petroleum industry
ipecacuana	ipecacuanha, ipecac
ionoterapie	iontophoresis
ischialgie	ischialgia
oier	shepherd, sheepherder
oină	a game with balls played by children, similar to rounders
oină	ram meat
berbecar	ram herder
vindecător	healing
vindecător	healer
pironi	to nail down
frăsinet	ash grove, forest of ash trees
suport	support
justificat	justified
justificat	legitimate
motivat	motivated
molicel	softish
african	African
african	African
dulap	wardrobe
mină	mine (place from which ore is extracted)
Hercule	Hercules
venos	venous
revenos	moist, damp
hiper-	hyper-
toci	to blunt, dull, wear down, grind away at
poci	to become ugly
poci	to disfigure
vecie	eternity
curătură	clearing, area (e.g. in a forest) clear of roots, bushes, brambles, stumps, etc. and good for pasture
curătură	a hill where vineyards are located
ciur	sieve, sifter, strainer, screen, tammy, riddle
noastre	; our
noștri	; our
voștri	; your
voastre	; your
aglutina	to agglutinate
comedie	comedy
edematic	edematous
puchi	rheum
husit	Hussite
ihtiolog	ichthyologist
iluzionist	illusionist
consum	consumption
proiect	project
proiect	projection
proiect	plan, design, draft
malarioterapie	malariotherapy
penos	feathery
armatan	harmattan
paleontologic	paleontological
jurnal	journal
jurnal	diary
cumulostratus	stratocumulus
pelagian	Pelagian
pelagian	Pelagian
comunicat	communiqué
comunicant	communicating
vaporos	vaporous
gratula	to congratulate
aglomerant	caking agent
aglomera	to agglomerate
celebru	celebrated, illustrious, famous, renowned, notable
decis	determined
uraninit	uraninite
variu	diverse
adins	intentionally, expressly, deliberately
distras	distracted
distrus	destroyed
pestos	pestiferous
zarzavat	vegetable
batal	wether
girus	gyrus
inventat	invented
fieros	ferocious, fierce
florinte	European greenfinch ()
adormit	sleepy, drowsy, sluggish, languid
adormit	asleep
ibung	military practice
provensal	Provençal
socialism democratic	democratic socialism
vrere	intention, will
vrere	wish, desire, wanting
vrere	decision
ușuratic	careless, thoughtless
ușuratic	frivolous
ușuratic	scatterbrained
pițipoancă	bimbo, ditz
pendinte	subordinate
spongie	sponge (animal)
suspectare	suspicion
Bosfor	Bosphorus
diurn	diurnal
gnochi	gnocchi
pitura	to paint
prioritate	priority
policar	thumb
duumviral	(of or relating to the duumvirs)
iudaic	Judaic
psiholog	psychologist
pudla	to puddle
glorios	glorious
rozător	rodent
comandament	commandment
palincă	brandy, tuica, tsuica
coniac	cognac
fumegare	smolder
cazic	mooring stake
parodiat	parodied
imitat	imitative
exagerat	exaggerated
exagerat	excessive, abusive
exagerat	too, extremely, very
schit	skete, small monastery
sefard	Sephardi
sefard	Sephardic
șelar	saddler, saddle maker, harness maker
pe bune	really(?), for real(?)
amarant	amaranth
vivacitate	vivacity
picoliță	busgirl
își da seama	to realize
strateg	strategist
necrologic	obituary
aerologic	aerological
injectat	injected
nervin	nervine
ajuns	upstart; nouveau riche
dezavantaj	disadvantage, drawback
dezavantaja	to disadvantage
dezavantajos	disadvantageous
simie	monkey
zărgan	garfish ()
din ce în ce	increasingly
credeți în Dumnezeu	do you believe in God?
crezi în Dumnezeu	do you believe in God?
sodomit	sodomite
tânji	to yearn, long
tânji	to sorrow
tânji	to languish
hil	hilum
cum vă numiți	what is your name?
tivi	to hemstitch, seam
tivi	to border
aveți nevoie de ajutor	do you need help?
ai nevoie de ajutor	do you need help?
armean	an Armenian person
armean	Armenian
insidios	insidious
zănatic	daft, thoughtless, scatterbrained, harebrained
zănatic	crazy, cracked
căluș	easel
căluș	clothespeg
lignificare	lignification
lignifica	to lignify
linotipie	linotype
liniere	drawing of lines
lagunar	lagoon
lobectomie	lobectomy
malaga	Malaga
bestiar	bestiary
mandea	speaker
măciucă	club, bludgeon
măciucă	penis
colibă	hut, shack, hovel, lodge, cabin
colindă	Christmas carol
surprins	surprised
melanurie	melanuria
melanodermie	melanoderma
fotoliu	armchair
fotoliu	easy chair, lounge chair, reclining chair
pereu	stone facing, revetment
metilare	methylation
mixomicete	myxomycete
mistagogie	mystagogy
mitografie	mythography
poza	to pose
poza	to take a picture of someone
poza	to pose
adversar	adversary, opponent
însușire	quality, trait, attribute, characteristic, feature, property
însușire	appropriation
comoară	treasure
narcoterapie	narcotherapy
nazificare	Nazification
nefelometrie	nephelometry
nefralgie	nephralgia
nefrectomie	nephrectomy
deoarece	since, because
neutrofilie	neutrophilia
nichelare	nickelling
nichela	to nickel
tovărășie	comradeship, fellowship, partnership
nife	barysphere
tovărășesc	comrade-like, of comrades
dansator	dancer
opac	opaque
nosografie	nosology
opoterapie	opotherapy
dialogist	dialogue writer; scriptwriter
orlon	Orlon
ordalie	ordalium, ordeal
organografie	organography
organoterapie	organotherapy
cantautor	singer-songwriter
ozonometrie	ozonometry
ozonoterapie	ozone therapy
paginare	pagination
parcare	parking lot
parcare	parking
prepuțial	preputial
vulvă	vulva
pelvimetrie	pelvimetry
masturbație	masturbation
cusătură	sewing, stitching
cusătură	suture
cusut	sewing
zbiera	to bray, moo, low
zbiera	to yell, roar, bellow, blat, bawl
cireș	cherry tree
mursă	juice, must
mursă	sweetness, sweet part of a thing, pulp of a fruit
pielografie	pyelography
pieloscopie	pyeloscopy
talie	waistline
prozodie	prosody
ghioagă	club, cudgel, bludgeon, cosh
bată	belt, girdle
lebădă neagră	black swan
semiurban	, partly urban
vertebrat	vertebrate
piretoterapie	pyrotherapy
platinare	platinization
polarografie	polarography
poligrafie	polygraphy
precariamente	precariously
prefai	repair
simun	simoom
patronat	management
primitivamente	primitively
procuratorie	prosecutorship
hipocamp	hippocampus
hipocamp	sea horse
negociant	merchant, dealer
cucui	bump, swelling (such as that from being hit hard on the head)
cucui	crest, bunch of feathers on a bird's head
cucui	top, summit
ergol	propellant (for rockets etc)
justificator	justificatory
nemuri	to become immortal
prosternare	prostration
cardialgie	cardialgy, cardiac pain
metralgie	metralgia
placarda	to placard
badina	to joke
repagina	to repaginate
penalti	penalty
mercantil	mercantile
lăor	a bundle of hemp or flax ready to be spun
leurdă	ramsons
fleancă	mouth
prestant	handsome, good-looking
suporta	to endure, to bear
suporta	to support
suporta	to stand
detectat	detected
suplantat	undermined
meser	poor, wretched, unfortunate, impoverished, destitute
meserere	pity, compassion
meserere	job, duty, function
sărman	poor, wretched, unfortunate
sărman	one who is poor, wretched
sărman	orphan
mizerabil	despicable, abject, low, villanous
mizerabil	miserable, wretched
ministru	minister
polariza	to polarize
polarizare	polarization
moraliza	to moralize
moralizare	moralization
cornean	corneal
afilia	to affiliate
afilia	to affiliate oneself
aiepta	to throw
aiepta	to rush, dash
aiepta	to seduce, allure, corrupt
ademeni	to lure, entice (by deceit or otherwise)
ademeni	to attract, invite, appeal to someone
ademeni	to seduce
acioaie	bronze
adineauri	just now, a moment ago, not long ago
domoli	to allay, assuage, alleviate
auș	old man, grandfather
aușel	kinglet (, syn. )
aușel	penduline tit ()
anțărț	two years ago
alamă	brass
alamă	object made of brass
alamă	musical instruments made of brass
cumul	accumulation
salpingectomie	salpingectomy
lăptos	milky
îngrădi	to enclose, fence in, block up, wall in
malț	malt (grain)
malț	grist
pleată	hair left to grow past the shoulders or hang down the back
pleată	bundle of flax
sanifica	to heal
licurici	firefly
licurici	glowworm
licurici	a power behind the scene; specifically the United States or its secret services
canabinoid	cannabinoid
crimă	major crime, offence, or wrongdoing; felony
crimă	murder
indic	Indian, Indic
țăcăni	to make a banging noise (like that of a hammer) repeatedly
țăcăni	to go crazy, lose one's judgement
zoosporange	zoosporangium
cârn	short, small, and with a raised tip; snub-nosed
cârn	without a nose, or with a shortened nose
plapumă	quilt, duvet, blanket
astrobiolog	astrobiologist
zoopsie	zoopsia
zootaxie	zootaxy
injust	unfair
stomatolog	stomatologist, dentist
crevetă	shrimp, prawn
stacoj	lobster
tribut	tribute
sațietate	satiety
abundență	abundance
suficiență	sufficiency
belșug	abundance
bogăție	wealth, richness
bogăție	abundance, ampleness
fudul	proud, haughty, arrogant, conceited, smug
orgolios	proud
orgolios	conceited
îngâmfat	proud, arrogant, haughty
foasă	hole, pit
sodomi	to destroy
suire	climbing
spanac	spinach
spanac	trifle
ceată	group, band, gang, pack, troop, flock
pâlc	group, herd, flock
pâlc	cluster, bunch, bevy
ciopor	group, troop, multitude, crowd
ciopor	herd, flock
gregar	gregarious
ofițer	officer
asterisc	asterisk
obstinat	obstinate
diferent	different
escadron	(cavalry) squadron
baladin	comedian
scalpare	scalping
scalpa	to scalp
scamonee	scammony ()
scarificare	scarification
scarifica	to scarify
ușar	doorman, porter
ușier	doorman, doorkeeper, usher, porter
ușier	bailiff
ușier	janitor
tăcut	silent, quiet, taciturn
plimbare	the action of walking
plimbare	a walk, stroll, amble, drive
aprins	lit, kindled
aprins	turned on
bifa	to put a checkmark
impacient	impatient
judecare	the act of judging, judgement, estimation, appreciation
judecare	criticism, censure, condemnation
câștigare	winning, earning, acquisition
confiscat	confiscated
mustrare	reprimand, twit
mustrare	scolding
ridicare	raising
ridicare	uptake
ridicare	development, improvement, growth
contribui	to contribute
creștere	growth, increase
creștere	increment
creștere	development
contribuitor	contributory
deșteptare	rouse
deșteptare	awakening
așteptare	waiting
așteptare	abeyance
pierdere	defeat
pierdere	bereavement
apropiere	nearness, closeness, proximity
apropiere	intimacy
țintă	purpose, aim, objective, target
țintă	small nail, peg
căință	regret
căință	repentance
rupere	the act of breaking
rupere	isolation, alienation
rupere	cloudburst
oprire	stop, halt
oprire	station
pornire	the act of starting (up)
pornire	inducement, motive
pornire	impulse, outburst, passion
buchet	bouquet
secvențial	sequential
vântos	windy, breezy
strângere	grasp
strângere	tightening, fastening
agățare	the act of hanging
spânzurare	hanging
atârnare	hanging, suspension
tulburare	flurry, hubbub, excitement
tulburare	unrest, disorder, confusion
tulburare	uneasiness, agitation (of mind)
supărare	trouble, vexation
supărare	ire, anger
supărare	grief, sadness, sorrow, suffering
cântare	singing
cântare	hymn, paeon
vrăji	to bewitch, enchant
vrăji	to lure
vrăji	to fascinate
supunere	submission, obedience
gândire	thinking
gândire	thought, idea
gândire	consideration
auz	hearing
ascultare	the act of listening
ascultare	obedience
încheiere	the act of buttoning up
încheiere	end, conclusion, close, settlement
primire	the act of receiving
primire	reception
îndurare	pity, compassion, mercy
iertare	forgiveness, pardon
iertare	excuse
scuză	excuse
scuză	apology
scuză	pretext
plecare	departure, parting, leaving
plecare	sailing
suflare	breath
suflare	soul, being
cucuvea	little owl
răpitor	rapacious, predatory
răpitor	ravishing, entrancing
flutura	to flutter, float, flit
gălăgie	noise, din, racket, uproar, hubbub
răsturna	to topple over, knock down, blow down
răsturna	to tip over, upset
răsturna	to overthrow
scămos	fibrous
trecere	the act of passing
trecere	passage
petrecere	party; feast; celebration
petrecere	amusement; merry-making
secvență	sequence
încălzi	to warm, heat
încălzi	to heat up
încălzi	to warm oneself
încălzire	heating
pedantism	pedantry
fosă	pit, hole, cavity, gap (in an anatomical structure)
fosă	orchestra pit
fosă	oceanic trench
ontologic	ontological
monosperm	monospermous
hibrida	to hybridize
lucrător	worker
lucrător	working, diligent, industrious, active
întindere	stretching; the act of stretching
întindere	extent
întindere	stretch
dezgusta	to disgust, sicken
dezgustător	disgusting, abhorrent, repulsive, loathsome
dregător	ruler, leader
dregător	high office
înălțare	raising, the act of raising
înălțare	Ascension
slăbire	thinning
slăbire	weakening
mărire	enlargement, expansion, amplification, aggrandizement
mărire	enhancement
mărire	augmentation
umezi	to dampen, moisten
umezire	moistening, dampening
improbant	uncertain
udare	watering
trezire	arousal, awakening
relicvă	relic (e.g. of a saint)
disc dur	hard drive
moaște	relics
învia	to resurrect, revive, raise or awaken from the dead
înviere	resurrection
intercalat	intercalated
laxitate	laxity
ocroti	to protect, defend, shield
infractor	felon
jasp	jasper
răcoare	cold, coolness
răcoare	shiver
răcoare	prison, jail
răci	to cool
răci	to cool
răci	to catch a cold
astrologic	astrological
treime	a triad, group of three
treime	a third
treime	a trinity
Sfânta Treime	the Holy Trinity
troiță	a roadside cross or crucifix
troiță	a triptych
troiță	a trinity, group of three
depreciator	depreciatory
rudă	relation, relative
rudă	family, sort, kin, nation, people
stocher	stoker
violetă	violet
expres	express
reprimat	suppressed
rusticitate	rusticity
premeditat	premeditated
muncel	hill, hillock, small mountain
temporar	temporary
taxator	tram conductor
burtos	having a big belly
pântecos	big-bellied, potbellied
măruntaie	entrails, viscera, bowels, pluck, guts, intestines
volubilitate	volubility
dogoare	intense heat
dogoare	fervor, ardor
dogori	to burn, scorch
dogori	to be burning hot
dogori	to bake, roast (especially in the sun)
unsoare	ointment, grease, salve
mladă	grove, coppice, thicket
mlădiță	scion
mlădiță	offspring
dumbravă	young or small forest; thicket, coppice, grove
oua	to lay eggs
iepuraș	bunny, young rabbit
iepuraș	leveret, young hare
iepurar	golden eagle ()
țesut	the action of weaving
țesut	tissue (fabric)
țesut	tissue
solz	scale, flake
înotătoare	female swimmer
ursuleț	small bear, cub
ursuleț	teddy bear
ursuleț spălător	raccoon
spălător	lavatory
spălător	washstand
spălător	washer, someone who washes
îmbăia	to take a bath
îmbăia	to give a bath to
altoi	to graft
altoi	graft, scion, small branch detached from a plant used for grafting
locțiitor	lieutenant
locotenent	lieutenant
călcare	act of stepping or treading on
călcare	violation
călcătură	footprint
călcătură	trespassing, violation
lățime	width, breadth
lăți	to widen, broaden
lăți	to spread, extend, dilate
lărgime	breadth
lungime	length
lungime	duration
alungi	to lengthen, elongate
lături	dirty water (from washing)
lături	slops, swill, hogwash
lături	fodder for pigs
spălătură	washing, lavage
spălătorie	washhouse, laundry
subraț	armpit
furtunos	stormy, tempestuous, gusty
furtunos	agitated, impetuous
întreține	to maintain, keep in repair, upkeep
întreține	to provide for, support, foster someone else or oneself
întreține	to keep a process in motion, keep going, help continue
hrăni	to feed, nourish
hrăni	to nurse, suckle
cultivat	cultivated
păsare	dwelling, residence, abode, house
arbitrat	refereed
locuință	house, dwelling, residence, abode, habitat
lupoaică	she-wolf
ursoaică	she-bear
sughița	to hiccup
sughiț	a hiccup
urcare	ascent
voinic	hale, healthy, sturdy, robust, vigorous, stout
vânjos	tough, stout, vigorous
vânjos	healthy
vânjos	sinewy
șchiop	lame, limping, hobbling
șchiopa	to become lame
șchiopa	to hobble, limp
foamete	famine, starvation
înfometa	to starve
înfometat	starving, famished
neras	unshaven
gălbenuș	egg yolk
stofă	cloth, fabric, texture, (woven) material
pănură	a rough homespun woolen fabric (used to make coats, etc.)
mărgăritar	pearl
perlă	pearl
guturai	a cold
guturai	coryza
guturai	rheum
centură	belt, girdle
cingătoare	belt, girdle
văz	sight
arătos	handsome
oacheș	spectacled (with dark spots around the eyes)
oacheș	swarthy, dark-skinned
usturător	causing itching or burning
usturător	sharp, poignant, lancinating, severe (e.g. insults, sarcasm, etc.)
usturător	painful, sore, smarting, caustic, bitter
tăios	cutting, sharp, severe, biting, bitter, piercing, keen
săpunar	soapmaker
boltă	vault
boltă	cupola, dome
tăbăci	to tan
endecagon	hendecagon
orezărie	rice paddy
mintos	clever, wise
fricos	cowardly, fearful, timid
organogen	organogenic
urâciune	ugliness
urâciune	fright
urâciune	monster
urâțenie	ugliness, unsightfulness
cunoștință	awareness
cunoștință	acquaintance
trebuință	necessity, need
aplecare	bending, the act of bending
aplecare	inclination
seceriș	harvest (time)
seceriș	reaping
mieros	honeyed
mieros	sugary
mieros	saccharine, syrupy, overly sweet
trestie	reed, particularly the common reed ()
trestie	cane, particularly the giant cane or giant reed ()
domnie	reign, rule
domnie	princely dignity
moșie	estate
moșie	one's native country or land
domnitor	ruler, one who rules
moșier	wealthy landowner, large estate owner; member of the landed gentry
vărsare	spilling, the act of spilling
vărsare	the mouth of a river
mătreață	dandruff
mătreață	a type of loosestrife ()
făuri	to forge
făuri	to create, make, craft
făuri	to scheme, plan, devise, concoct
forjă	forge
fierărie	forge, smithy
narghilea	narghile, hookah, hubble bubble
pipă	pipe (for smoking tobacco)
periuță	little brush
periuță	toady, sycophant, lickspittle
deversor	overflow, spillway
deversare	spill
mineralist	mineralogist
părticea	a small part or piece
fisura	to crack
particulă	particle
bucățică	; a small piece, bit; fragment, morsel, smidgen
croitor	tailor
neogen	neogenic
păcătos	sinful
păcătos	low, wretched, wicked
ticălos	wicked, wretched, vile, abject, base
mârșav	sordid, ignoble, vile, base, mean, foul
câinos	callous, cruel, hardhearted, heinous
împietri	to turn into stone
împietri	to harden
împietri	to become callous
afurisi	to damn, call curses on
afurisi	to swear
afurisi	to invoke
afurisit	damned, accursed
afurisit	hateful, bloody
blestemat	cursed
blestemat	accursed, damned
blestemat	abominable
îngriji	to care for, tend to, look after, nurse
grijanie	Holy Communion
grijanie	Eucharist
cuminecătură	the Eucharist
cuminecătură	sacrament of Holy Communion
cumineca	to receive (or give) the Eucharist, Holy Communion
cumineca	to communicate
nevăstuică	weasel
nevăstuică	ferret
partener	partner
partener	companion
partener	colleague
pustiu	deserted, bare, desolate
pustiu	desert, uninhabitated or desolate region
tainic	secret
săcret	cursed, damned
săcret	deserted, abandoned
săcret	secluded, isolated, remote
deșerta	to remove all the contents of something, clear, drive out, evacuate (a place)
deșerta	to finish a drink completely
deșerta	to become deserted
șubred	feeble, flimsy, frail, weak, fragile, unstable
primejdie	danger
primejdios	dangerous
seamăn	one who is the same as another
frugalitate	frugality
nicovală	anvil
scoabă	niche, recess
scoabă	chisel
scoabă	crampon
statuie	statue
deplasa	to shift, move
deplasa	to remove
deplasa	to displace
înveli	to wrap up, cover
înveliș	cover (e.g. of a book), covering
înveliș	(outer) layer of something
picura	to drip
prețios	precious
ghem	ball of thread or yarn
ghem	the third compartment of a ruminant's stomach
cață	a long stick with a hook at the end that shepherds use to herd sheep
cață	an annoying person who keeps following one around
bâtă	club, cudgel, cosh
bâtă	hopelessly bad at something
aburca	to climb, ascend, go up
păgânătate	heathendom, paganism
păgânătate	heathendom
păgânătate	Turks
păgânism	paganism
păgânism	heathenism, heathendom
pângări	to besmirch, violate, defile, profane, dishonor
spurcăciune	filth, dirt, muck
spurcăciune	squalor, nastiness
spurcăciune	excrement, manure
îmbrânci	to push (hard)
îmbrânci	to jostle
nimici	to destroy, annihilate, exterminate, ruin, reduce to nothing
importunitate	importunity
răutăcios	bad, malicious, wicked
răutăcios	insulting, scathing
răutăcios	maliciously, malignantly
înjosi	to humiliate, humble, abase, degrade
chirurgic	surgical, chirurgical
înlocui	to substitute, replace, take the place of
înlocui	to swap, switch, or exchange (places)
rămas	the result of remaining; remainder, remnant
rămas	inheritance
rămas	remaining
rămășiță	remnant, remainder, residue, residuum, leftover
moștenire	inheritance
sfinți	to sanctify
sfinți	to consecrate
sfinți	to hallow
binecuvânta	to bless
binecuvânta	to praise
inimos	kind, kind-hearted, generous
inimos	passionate
inimos	brave, courageous
socoteală	calculation, computation
socoteală	count, counting
socoteală	consideration, deliberation
numărare	counting, count
numărătoare	counting, count
numărătoare	abacus
cifră	digit
cifră	numeral, figure
întârzia	to be late
întârzia	to linger, stay too long
întârzia	to delay, retard
întârziere	lateness
întârziere	delay
amestecătură	mixture
amestecătură	medley, amalgam
amestec	mix, mixture, admixture
amestec	fusion
amestec	jumble
amestecare	mixing, the act of mixing
amestecare	the result of mixing, mixture, amalgamation
adunătură	mixture, medley
adunătură	group (of various things, people), congeries
înceta	to stop, cease, end
înceta	to suspend, put an end to, break off, discontinue
înceta	to stop an activity of oneself
puturos	stinking
puturos	very lazy
următor	following, next
următor	current
următor	follower
adulmeca	to sniff, scent, sense or trace through smell (an animal, person, etc.)
mirodenie	spice (of plant origin, for flavoring food)
mirodenie	condiment
mirodenie	a plant of the mustard family ( and also ) ())
sulc	furrow of earth
sulc	crease
vinovat	guilty, culpable
învățământ	lesson, teaching
învățământ	the education system
învățătură	learning
învățătură	studies
învățătură	lesson, teaching, instruction
învățător	teacher (primary school), schoolteacher, pedagogue
învățător	instructor
heteropter	heteropteran
ghici	to guess
ghici	to predict, foresee, divine
ghici	to find out, discover
roși	to redden, turn red
roși	to blush
rușina	to shame, put to shame
rușina	to feel ashamed
rușina	to be shy
ocară	shame, disgrace
ocară	insult, abuse
ocărî	to insult, abuse, curse, speak ill of
birui	to defeat, vanquish, subdue, be victorious over
biruință	victory, triumph
izbândă	victory, success
izbândi	to succeed, be successful in
izbândi	to be victorious
izbândi	to surpass, overtake
întrece	to exceed
întrece	to surpass, overtake
întrece	to excel
păraț	the palate, roof of the mouth
pârât	the accused
pârât	defendant
pârî	to denounce
pârî	to accuse
pârî	to turn in, to rat out, to tell on
jertfă	sacrifice
jertfă	oblation, offering
jertfă	victim
sărat	salted
sărat	salty
sărat	brackish
vidră	otter
sărătură	saltiness
sărătură	salted land, salt marsh
sărătură	salted food
sărar	salter, maker or vendor of salt
pușcărie	prison
pârghie	lever
pârghie	key factor
săgetător	archer, bowman
săgetar	archer, bowman
înnegri	to blacken
focar	focus
focar	focus
nenorocire	disaster, calamity
nenorocire	misfortune, woe
nenoroci	to make unhappy
nenoroci	to ruin
nenoroci	to cripple, maim
repezi	to hurry, rush
repezi	to run or rush (at)
